CL_target,CD_target,CoP_target,Total_Points_legacy,Total_Points_corrected,Endurance_Score_legacy,Endurance_Score_corrected,Autocross_Score_legacy,Autocross_Score_corrected,Skidpad_Score_legacy,Skidpad_Score_corrected,Accel_Score_legacy,Accel_Score_corrected,DragEnergy_Endurance_kJ_legacy,DragEnergy_Endurance_kJ_corrected,TractiveEnergy_Endurance_kJ_legacy,TractiveEnergy_Endurance_kJ_corrected
0.055,0.0175,0.425,390.4397409922654,429.17546680105386,185.82316044053067,198.60606515259516,79.41101209689738,84.2223827271982,71.37223474194278,69.61253973349093,53.83333371289454,76.73447918776961,538.9508674419735,558.2094914050404,1817.9096673831903,1954.2578779123064
0.035,0.02,0.425,360.31885601381003,390.63888290964974,170.41436871475292,178.77997896143532,71.34951529962014,74.19907706408617,68.69345310097165,65.08947792965195,49.86151889846534,72.5703489544763,566.619347923874,583.3642279859869,1705.716522351136,1821.3647839379219
0.04,0.02,0.425,366.02170560404807,403.1859806256282,173.61606637271862,185.43082089022585,73.02741863123119,77.39816914808371,68.58606223097851,66.84818864053764,50.79215836911978,73.50880194678095,577.2255723131676,596.9049622538815,1744.1151818738576,1866.474057340656
0.045,0.02,0.425,373.10123932335637,410.6649417181455,177.32119494882497,189.51403885376473,75.08734300293673,79.50396834362641,69.01554392975953,67.28399572905133,51.67715744183508,74.36293879170302,588.2472457265859,609.0838945295475,1782.7087490841068,1909.9511332651243
0.05,0.02,0.425,381.9266491624705,418.0108835353383,181.3656770602769,193.44686072892011,76.94947132576239,81.66095901450124,71.06500230349711,67.71144993407147,52.54649847293407,75.19161385784544,600.502475763661,620.698608584805,1823.9709539927405,1952.0674102224236
0.055,0.02,0.425,389.0378498699645,427.03051967784063,185.1442071178379,197.68051726951316,79.1178861590278,83.7272264862576,71.37010273055428,69.62043078227246,53.40565386254449,76.00234513979737,611.9294503703444,632.9159720895829,1862.0238178916354,1994.8793261463068
0.035,0.0225,0.425,357.6290926570953,388.8983419957066,169.18774207924676,178.01923048753096,70.67456544485783,73.85112704718053,68.27724028287383,65.09675969208432,49.48954485011691,71.93122476891074,633.229493325776,652.1455581609389,1745.734769351744,1861.3865839842342
0.04,0.0225,0.425,364.74209069994413,399.1825980859089,173.001353330999,184.11830477156929,72.76659602778632,76.85189233622975,68.58414520248401,65.36516271471933,50.389996138674825,72.84723826339054,645.7157470888762,665.9678761218976,1785.8470793654226,1906.7229860964815
0.045,0.0225,0.425,371.8390758843201,408.41954612064734,176.76450181348056,188.5219734097851,74.78099072510491,78.97663357978497,69.02288979869775,67.25676500252906,51.270693547036906,73.6641741285482,658.3880163182448,680.0530168820176,1826.1383539028013,1950.557169880402
0.05,0.0225,0.425,380.6216520856476,414.5133421457446,180.7234345982523,191.9669261571701,76.69009851282362,80.89296600423793,71.07497190414543,67.17439114413143,52.133147070426304,74.47905884020513,671.4612326619919,692.3669578176591,1867.2079137816256,1991.8544582274021
0.055,0.0225,0.425,387.21033780192363,423.3988914487656,184.22982223613573,196.09600822821662,78.53032487557981,82.81722228277665,71.47353720773171,69.2093790469975,52.97665348247643,75.27628189077478,683.3882695901946,705.7475609589419,1904.8881693971093,2035.4832766966724
0.035,0.025,0.425,354.7218894332799,386.8800018499606,168.45263410115317,177.20450314179845,70.50101332293981,73.30641051929881,66.6918219657785,65.0702095801297,49.076420043408376,71.2988786087336,700.0814066621828,720.2815400996362,1787.7678860578176,1902.9654635941365
0.04,0.025,0.425,363.4588054220333,396.2057407433067,172.34650343811387,182.892639750037,72.42464061830697,76.26968079053376,68.72370016392878,64.86738588249229,49.96396120168373,72.17603432024367,713.5648356651653,734.8941153010176,1829.2431067395187,1947.8298148180604
0.045,0.025,0.425,370.2245672330651,405.2395783022238,176.01933429985894,187.08393650999997,74.37308144598018,78.30807935817508,68.99797525634109,66.87471193682725,50.83417623088489,72.97285049722143,726.9530420705572,749.3815454395402,1868.180051803116,1988.2624487054663
0.05,0.025,0.425,377.7836873582802,412.0861623180217,179.55168012199312,190.85004818027002,76.02134523734772,80.18535094261514,70.52170132242844,67.27682700783481,51.68896067651093,73.77393618730174,741.098826642643,763.1110579014851,1909.3237725582978,2032.604359337144
0.055,0.025,0.425,384.52197668389533,420.9420126367374,183.08740281771287,194.99486470002748,77.94316922206612,82.2068676906025,70.96371248020623,69.18265423134271,52.527692163910146,74.55762601476472,754.107865059261,777.4403788083955,1948.2846394269188,2075.7605060042547
0.035,0.0275,0.425,353.5420924414003,383.8113727521784,167.92706223939697,175.81012811324138,70.25853019097949,72.6401163133093,66.69004863980723,64.700765015028,48.66645137121664,70.66036331059965,766.3773852117555,786.2442254140697,1830.792830201854,1941.2406034547066
0.04,0.0275,0.425,362.03080993290024,390.8922299671056,171.7535955600732,179.66263252111005,72.04939133512818,74.63353215292864,68.6862959091317,65.08948816181103,49.54152712856716,71.5065771312559,781.1133635328326,801.0898295116575,1870.9813664620865,1984.24883442155
0.045,0.0275,0.425,368.9229612549286,402.9605957577184,175.37173139234164,186.09188204525327,74.02600272759703,77.72833497928823,69.1259307926101,66.84818955298584,50.39929634237983,72.29218918019104,795.397021172624,818.231395562916,1911.5605176357035,2029.9981159911279
0.05,0.0275,0.425,376.2726350308248,410.1562927497366,178.80982759785897,189.99707536946087,75.69221314397821,79.79384858879718,70.52895739376304,67.28399572905133,51.241636895224566,73.08137306242726,809.7672071386186,833.4535701152216,1952.025779370889,2073.402372384103
0.055,0.0275,0.425,382.840017648232,417.24176842997787,182.39602322715737,193.84929792153443,77.47983164851838,81.85316358913289,70.9267009552169,67.71144993407147,52.03746181733931,73.82785698523907,824.6520039391187,848.606407364535,1992.7083584587901,2117.5316938634137
0.035,0.03,0.425,352.1461161764031,381.78360344669926,167.2964882221377,174.98681056373454,69.92756605181432,72.16907848934501,66.6646460904571,64.66459287593321,48.25741581199394,69.96312151768649,831.6763939856634,852.3829917878697,1872.9109352541818,1982.192369294165
0.04,0.03,0.425,360.8318812664719,389.19594410554856,171.20796133344376,179.0195895151845,71.8071069053277,74.28093161057103,68.696140599966,65.09672144307689,49.12067242773443,70.79870153671612,847.8931856356273,869.3132384564659,1912.7385550964304,2025.6921534268463
0.045,0.03,0.425,366.0685812195793,398.895610895736,174.18146289035244,184.79198039853247,73.33433802571932,77.1649585046962,68.58607520638674,65.36511195174208,49.9667050971208,71.5735600407653,862.0433421986154,885.4859140934036,1954.9635850612249,2070.5587007916356
0.05,0.03,0.425,374.5098237701154,407.7834650832474,177.9708633148626,188.89694633978806,75.14399931822784,79.16159487285688,70.62264051580708,67.38582243472644,50.772320621217915,72.33910143587602,877.6724131172734,902.1458125822332,1996.1579633755728,2115.8332343882385
0.055,0.03,0.425,384.4810077266365,413.6327253453867,183.88213317267545,192.3388803194811,78.11735701539178,81.0545253638584,70.93134476468995,67.17438771809839,51.5501727738793,73.06493194394882,895.1341936353997,917.8899516067439,2037.5840670297798,2158.3876496820944
0.035,0.015,0.45,364.92666254182956,402.2113291902197,172.78781209078818,184.55932707624845,72.90466522018248,77.18642582575279,69.12593332403719,66.87469935132947,50.108251906821714,73.59087693688899,432.6476267164385,448.7743056988926,1630.1979522175445,1756.2777501141666
0.04,0.015,0.45,373.11828525948573,409.82715335251356,176.64049474257106,188.74085803444177,74.77421607065878,79.44418323788854,70.51972175328295,67.18171918082169,51.18385269297297,74.46039289936157,442.3437737601835,458.34436938259967,1670.7759169205171,1798.1385950173478
0.045,0.015,0.45,380.4996894725326,419.23276285037224,180.54033953693803,193.07544056893752,76.89373601168921,81.5531682450542,70.96375067951264,69.20744384408678,52.10186324439273,75.39671019229371,451.80814726159974,468.11056982084125,1710.5922887354652,1840.1166026608973
0.05,0.015,0.45,392.7087974717048,427.0234946260041,186.95438578190723,197.258665308545,80.00020852126165,83.87377006645143,72.75266509965829,69.64005572022035,53.001538068877665,76.25100353078733,462.1467879658104,478.13352613782183,1747.5699422712191,1883.884335592333
