AeroTag,CL_target,CD_target,CoP_target,Accel_Score,Skidpad_Score,Autocross_Score,Endurance_Score,Total_Points,Skidpad_Time,Accel_Time,Autocross_Time,Endurance_Lap_Time,RunNumber,RunMode,DragEnergy_Endurance_kJ,DragEnergy_Autocross_kJ,TractiveEnergy_Endurance_kJ,TractiveEnergy_Autocross_kJ,Efficiency_Score,Mass_lbf,MassScenario,BSFC_g_per_kWh,EngineMode
Fast_CL_0.050_CD_0.022_CoP_0.550,0.05,0.0225,0.55,72.68864913086102,73.79109463186546,86.72488247075627,201.02486484881683,434.22949108229955,4.886711076481627,4.541975522259976,54.23559669421106,126.90262018071273,11,Fast,718.3369162161531,300.877484753505,2030.7977158927279,926.1441530189165,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.575,0.05,0.0225,0.575,72.27996486523618,74.08218320017808,86.79810733291889,200.7816850968335,433.94194049516665,4.881456773408619,4.549148542519745,54.22403956170729,126.94481705786622,12,Fast,715.2965570064622,300.15507257064496,2019.8221868458938,921.1315374607442,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.600,0.05,0.0225,0.6,71.89962106500657,76.63846371968653,84.93277463812524,199.52965136366504,433.00051078648335,4.836030990927083,4.555844529291473,54.519990129885585,127.16251656978763,13,Fast,709.204041808622,294.09865382322266,2004.5879341952736,916.2488559333251,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.625,0.05,0.0225,0.625,71.48057823160343,78.2461071589181,86.32357592313883,202.10252332164046,438.1527846353008,4.80810406202145,4.5632446755086224,54.299022781462185,126.71596055352231,14,Fast,709.6234522065944,295.6427499448708,1999.9974308032697,915.5678182928916,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.650,0.05,0.0225,0.65,71.10431209603716,78.52112293053433,84.8721830753404,200.3888064401082,434.8864245420201,4.8033749572362545,4.569909915021604,54.529657668881455,127.01304921313967,15,Fast,703.0586942684258,291.3533601494394,1980.9082092536735,900.9520916143641,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.675,0.05,0.0225,0.675,70.70732136867699,80.29062257017056,84.91484823177038,199.8873726046526,435.80016477527056,4.773277214826001,4.576963415098822,54.52284997684382,127.1002410223345,16,Fast,700.917890551266,292.5777931620449,1970.1731277246354,898.5184007754975,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.700,0.05,0.0225,0.7,70.28009139957874,81.38081323437079,83.53782466221773,198.06307056349922,433.2617998596665,4.755013247953737,4.584578553514493,54.74343050411129,127.4184722901284,17,Fast,694.9212160652379,289.39856941642967,1954.5008604019097,890.470735372978,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.725,0.05,0.0225,0.725,69.8648610969759,81.36648811757826,83.61908388724513,198.8318277205284,433.68226082232763,4.75525187898824,4.592004126317009,54.73036433535143,127.28417621542692,18,Fast,690.3371690370386,286.9196350429627,1939.0479697203127,882.8414844074207,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.525,0.055,0.015,0.525,75.80197768531835,74.13430668402628,90.36834453220307,207.11228065616754,447.41690955771526,4.880517704825722,4.488065665339024,53.66645964352027,125.85538865161489,19,Fast,495.8155210848752,208.67227144461776,1927.6286678500662,887.7202365992111,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.550,0.055,0.015,0.55,75.39671019229371,76.14246921007155,90.6831244813078,207.28307607951209,449.50537996318513,4.844745795745683,4.495010644217858,53.61784863516271,125.82625555467023,20,Fast,494.40898965381575,208.84725026648493,1925.3789127118634,884.0496891341619,,580.0,baseline,,corrected
