AeroTag,CL_target,CD_target,CoP_target,Accel_Score,Skidpad_Score,Autocross_Score,Endurance_Score,Total_Points,Skidpad_Time,Accel_Time,Autocross_Time,Endurance_Lap_Time,RunNumber,RunMode,DragEnergy_Endurance_kJ,DragEnergy_Autocross_kJ,TractiveEnergy_Endurance_kJ,TractiveEnergy_Autocross_kJ,Efficiency_Score,Mass_lbf,MassScenario,BSFC_g_per_kWh,EngineMode,Candidate
AccurateRerun_CL_0.050_CD_0.022_CoP_0.600,0.05,0.0225,0.6,71.86916327418594,76.35601482328356,86.36052113600645,201.43697705534794,436.0226762888239,4.8409879497073955,4.556381594001232,54.29317742925369,126.83117393435458,1,AccurateRerun,714.773951060213,298.74294898474454,2011.6380347258246,918.5487891648419,,580.0,baseline,,corrected,R_recommended_cop600
AccurateRerun_CL_0.050_CD_0.022_CoP_0.575,0.05,0.0225,0.575,72.25537577043102,74.79396077346024,86.76230894355204,201.93157514236034,435.74322062980366,4.868679864624458,4.549580840571377,54.229689031730864,126.74553358195452,2,AccurateRerun,717.9397976992286,299.95875286689346,2025.7483870777924,924.0167811843653,,580.0,baseline,,corrected,B_window_cop575
AccurateRerun_CL_0.050_CD_0.022_CoP_0.625,0.05,0.0225,0.625,71.48544539513033,78.17699377525626,86.34152468484811,201.78196815231098,437.78593200754574,4.809294716897507,4.563158585155676,54.29618282918077,126.77142603887164,3,AccurateRerun,711.5299457564269,297.6265055739374,2000.3777622129217,913.8588890091131,,580.0,baseline,,corrected,C_window_cop625
AccurateRerun_CL_0.046_CD_0.019_CoP_0.586,0.0457,0.0193,0.586,72.33724452762709,74.49086266619271,84.88765906350164,198.68142246492044,430.3971887222419,4.874108411962648,4.548141833871006,54.52718810934225,127.3104285992686,4,AccurateRerun,609.5904458673948,254.059305325547,1928.2726385445083,883.0535397634638,,580.0,baseline,,corrected,E_pareto_lowdrag
AccurateRerun_CL_0.055_CD_0.015_CoP_0.575,0.055,0.015,0.575,74.90088422186213,78.38111270554847,90.73912268139583,209.7688498227719,453.78996943157836,4.805780794666559,4.503536793704323,53.60921013989588,125.40377103302237,5,AccurateRerun,496.0305929485127,207.24964284943636,1917.0599918482123,882.2093236686319,,580.0,baseline,,corrected,F_unconstrained
