CL_target,CD_target,CoP_target,Total_Points,DragEnergy_Endurance_kJ
0.04897978896198897,0.023112929286764387,0.5667828604589026,432.5882032732069,734.975471143468
0.04885846498298966,0.02291369077464737,0.5867636331458165,432.47202183932063,726.010178853103
0.04840669720703852,0.02291369077464737,0.5863590929015705,431.8499792844887,725.113292098263
0.04824250147996925,0.022500966322967594,0.5890029675777756,431.81005085518115,711.8364489525196
0.0488638116426723,0.022497279634153863,0.5769720429180226,431.740833016509,711.1033068415553
0.04570045758139569,0.019267002454951106,0.5857989525952173,430.8228057586357,607.2774563482504
0.04559303750648805,0.019159429245039727,0.5782270522374904,430.42296536285994,606.5710149135356
0.04468600548631513,0.018626563985936893,0.6255698338632412,429.31435855513286,581.6508874259627
0.04274488003468696,0.01861418922482862,0.6086760733592921,426.8497079240183,580.7732493186986
0.042429055112333365,0.01861291315019442,0.6086760733592921,426.5365394858954,579.996688750431
0.04324253927885532,0.018068468872518745,0.6056937221178449,425.9253484700481,562.921300218583
0.041074427126120194,0.018096788062791466,0.6139482558046293,424.7843540684695,561.2527262739837
0.04105918823177549,0.018051482696591327,0.6255698338632412,424.0503751434623,558.4775997333528
0.039712309089811944,0.016553395394197683,0.6225305183850077,423.26346764347454,511.11632406880125
0.03919619763124904,0.016553395394197683,0.6224974651818873,421.76146269289063,510.38722577042574
0.03832930765584098,0.01605158221701167,0.6090866618775308,421.17317862913933,494.93066084168026
0.038325272637764,0.016081881510223155,0.6282747049112188,420.5892024524919,493.6703269419098
0.037342786290957254,0.015999923654919614,0.6255698338632412,419.63936802431533,490.0418182390283
0.038017488726811835,0.016003298394265168,0.5699719207290715,417.8119275516396,489.82762993540786
0.03733875127288027,0.015909454155479782,0.6124034184290208,416.7135463607521,487.75007466151726
0.0381462224134891,0.01608195511656779,0.448936846347888,406.491496670701,485.9990801717474
0.0381462224134891,0.01608195511656779,0.4297781739393345,404.2023904594688,482.5414727942137
0.03624574847560376,0.016000044110846275,0.44243683741200723,402.47833369838713,478.2731331428916
0.03597329013089694,0.015658384832647223,0.44243683741200723,402.38676089389446,467.9817491259413
