candidate,draw,sf_x,sf_y,mass_delta_lbf,Total_Points,DragEnergy_Endurance_kJ
window_best_cop525,0,0.416571318249228,0.45330746873774286,-7.255774444362349,353.3864292938131,651.8039528975535
window_best_cop525,1,0.44993500761961036,0.47007689541612196,14.34903411942651,390.72639620429914,681.7640006655016
window_best_cop525,2,0.4591348521861022,0.484574787375564,13.230179839543045,415.44989901978226,702.526796151092
window_best_cop525,3,0.40758201075347505,0.4968908163422485,-4.779414724304727,402.73611896734917,693.2848886003417
window_best_cop525,4,0.4183133476119711,0.5406134338895561,-1.91995489223007,462.78356259902597,740.6832575837357
window_best_cop525,5,0.4885389920664333,0.5197361088736299,-5.570411138884413,479.1256796175128,757.6476849267042
window_best_cop525,6,0.4113378518538777,0.48393206607424455,7.395267519162317,383.6971752635648,669.4950232534266
window_best_cop525,7,0.4166796554459368,0.4516877215097498,-13.799606923404292,354.0454207359563,652.883055706577
window_best_cop525,8,0.4903495607962598,0.4659823694104981,-12.976832007239217,-628.1763564418152,0.003910301778712289
window_best_cop525,9,0.4609695233516745,0.5496435875539671,-2.8788723759478128,491.7903087771806,757.4863394765796
window_best_cop525,10,0.4382093811356812,0.4959715979893185,-7.6471784665780795,421.02087254755156,703.2290783021683
window_best_cop525,11,0.4510251019622937,0.5191039916318759,10.356749451036805,450.506214663061,724.3327295731182
window_best_cop525,12,0.46465586572651196,0.4554668061401838,7.254212894258703,384.5483730607981,676.5746986961287
window_best_cop525,13,0.4297777934185017,0.45340502789470377,1.3738194756887019,362.03695726464326,658.4198240257252
window_best_cop525,14,0.417417126558026,0.5345890106445058,4.8442654294050165,452.3495855484113,731.6120489523116
window_best_cop525,15,0.4759235635053593,0.5087881940666861,5.7683732005477175,454.5982078626587,735.2307958365598
window_best_cop525,16,0.46533245256922356,0.4808709743204562,8.431644701950262,415.12504779221433,703.6778322796208
window_best_cop525,17,0.4511144082134845,0.48173766382813377,12.82507791347048,405.0372184040185,692.6304935094363
window_best_cop525,18,0.4785062792372693,0.4589237254417749,-10.50794478636801,-633.8241701169403,0.00409538083512007
window_best_cop525,19,0.4544167741983024,0.46726696011085755,3.783904732361446,394.63979078590023,686.6104520680317
window_best_cop525,20,0.49328222753675754,0.45245861074651866,-10.691356706599347,-631.7970535414336,0.004416690057777597
window_best_cop525,21,0.42340585151970406,0.5339124848372783,-1.7060717614590928,456.5545349819645,734.6972808387338
window_best_cop525,22,0.45483573265787053,0.49663031972031657,8.58854365871196,426.00799013467935,709.2375843681428
window_best_cop525,23,0.44852622272310494,0.46272029160585304,11.840933810584364,381.89495881780044,674.7347639996368
window_best_cop525,24,0.43679473695544035,0.5239246874033693,7.77684462373589,445.6452532810124,717.1295783523084
window_best_cop525,25,0.45824357735541393,0.4695652829945321,-13.937753877552188,402.2740271690398,697.8242779449226
window_best_cop525,26,0.42617711085008225,0.4561920235148453,-4.217637706986698,361.8767933185098,660.7561405261587
window_best_cop525,27,0.4771982415400636,0.5098392107324039,-10.108295027354133,462.1210579921204,746.8969917012337
window_best_cop525,28,0.48306001966581735,0.5395757751741282,14.964074628972053,494.42362984661276,760.2816014126755
window_best_cop525,29,0.4165883704105066,0.4526943411384703,-10.679539271098879,354.20982154263675,654.6589893897225
window_best_cop525,30,0.44703658860644446,0.530513598989167,-7.670566714605512,467.24875846131005,736.9567965806992
window_best_cop525,31,0.42994304032803343,0.4690170016728341,-4.283408616614189,378.4451373419897,672.4846285624773
window_best_cop525,32,0.41248052979617184,0.4592901421636547,-13.17339891272436,358.6580689410958,655.3389561252353
