CL_target,CD_target,CoP_target,Total_Points,Accel_Score,Skidpad_Score,Autocross_Score,Endurance_Score,DragEnergy_Endurance_kJ,DragEnergy_Autocross_kJ,TractiveEnergy_Endurance_kJ,sf_x,sf_y,Mass_lbf
0.04875286399814001,0.029252634616482785,0.5995292803051686,426.28702429870833,70.0061983178477,74.70698429294558,84.56607920628396,197.00776248163112,907.6637590868196,381.0368058208314,2124.454247076273,0.45,0.5,580.0
0.03675621569971775,0.019102826843490833,0.621549525214159,413.547309728744,70.7086931957603,71.62298014621008,80.657863469292,190.55777291748163,580.4073140712727,241.62100104954098,1845.0146781664841,0.45,0.5,580.0
0.03015795913696724,0.02796088311250703,0.6043406214692104,388.7376108077135,67.95418164631272,67.22602377389933,74.74877612407582,178.80862926342567,806.5536939987622,335.45726134058447,1938.0818596078573,0.45,0.5,580.0
0.04403804858531162,0.01915155125592833,0.487645762722674,417.99544702460025,73.57582454569396,69.62029178954401,81.8231591526515,192.97617153671072,596.9479803453193,247.5446074457056,1918.901120484,0.45,0.5,580.0
0.03764608762962374,0.021566297200004993,0.5385233582655395,406.5935390091818,71.28758576601989,69.19956071951124,79.2924868467875,186.8139056768632,648.489067801898,271.2981834906526,1889.270511269331,0.45,0.5,580.0
0.046604920562234774,0.030923504818384677,0.6033489318230945,421.2936300508269,69.23073888608019,73.85337661828841,83.43898620014076,194.77052834631752,948.1390563494567,398.29309058960274,2134.665751168516,0.45,0.5,580.0
0.04866537688323488,0.030812322510592044,0.47344445710300975,411.592622382851,71.26726670708179,69.31056114405226,80.33385782880983,190.68093670290713,938.2855297443381,389.2323425351975,2144.651044392601,0.45,0.5,580.0
0.03480636101573534,0.024413173272641524,0.43488695179131126,387.58704100150294,71.30659670423799,65.0949572338657,73.58576906775691,177.5997179956423,705.8744474936121,291.9416867923157,1894.8905030370545,0.45,0.5,580.0
0.031070408363207885,0.022753109944613298,0.52989635569819,393.7600714806278,70.09511774403398,66.87466167086299,75.74690321730303,181.04338884842784,667.3615807092872,276.8957309653346,1859.7659531938273,0.45,0.5,580.0
0.05751503319578556,0.02469684632634718,0.5406764704848906,443.06446355807014,73.20774843248905,75.7657112998739,89.26979941743468,204.82120440827254,796.8503401397489,337.3342720950338,2120.7255169206333,0.45,0.5,580.0
0.04490620306180512,0.018207753674464623,0.4276536557470638,411.9861427341441,74.79941676411022,67.27682696975268,79.81691980056816,190.09297919971306,557.5256326241359,230.10642282134415,1881.3847640598285,0.45,0.5,580.0
0.035772064319559316,0.025764546054991268,0.4701365128970739,393.5029590051891,70.73432284323559,65.3626888676095,75.78491923936345,181.62102805498057,754.2422845667945,312.449681415598,1941.3959385399612,0.45,0.5,580.0
0.0410860893180662,0.014063482114885291,0.6117607392053928,426.9825524919896,72.64322018038474,74.51806505650471,83.79245788072252,196.02880937437766,439.23340807795734,183.35285796187975,1788.611969003207,0.45,0.5,580.0
0.034633832431843196,0.01854918817758435,0.6230747346456864,411.57750757296895,70.53210558828022,71.7621655059431,79.98663023630894,189.29660624243672,559.7797792340955,232.9889323915267,1815.2916101014869,0.45,0.5,580.0
0.04529372429605269,0.028401554188219783,0.5689363625620685,420.54499544370884,70.24298388052337,71.88866537663726,83.5175136516341,194.89583253491412,876.0532909857461,367.1729748062065,2090.206119579122,0.45,0.5,580.0
0.05225312842085571,0.015555425286071777,0.54675735980971,444.11653571876883,74.88426229022188,75.81066404020572,88.81251558416186,204.60909380417934,506.01039699613636,212.5802884392621,1909.5138693710378,0.45,0.5,580.0
0.0452331670890105,0.02881276940377897,0.5062844132781854,411.0288630938744,70.90051495851462,69.20941050815793,80.49970801064065,190.41922961656118,881.6659947281864,366.1563202678367,2096.8988732277357,0.45,0.5,580.0
0.047945522016216394,0.015007277919873562,0.512217155249914,435.0760802226645,74.94279765827584,71.86611650281704,86.71195675257079,201.55520930900087,485.1067841371776,202.13483053072835,1881.433850765191,0.45,0.5,580.0
0.039691090387746195,0.016553395394197683,0.6086760733592921,422.3890267112099,71.89238687360368,73.7190805661257,82.56624868173536,194.21131058974515,512.4082736907841,213.48040521040286,1825.6530693300406,0.45,0.5,580.0
0.04138338514650937,0.03063871403499077,0.5577481309273873,406.53462017463,69.25836253204568,69.63170739580278,79.7745435590446,187.87000668773695,921.9502133569346,385.4066212542743,2093.1977760079144,0.45,0.5,580.0
0.048151687614895536,0.02484594187340165,0.5772013048578774,428.8304065025487,71.41586332138141,73.56801141414061,85.29889869367399,198.5476330733527,781.8419639516354,327.38555002167556,2050.531589057743,0.45,0.5,580.0
