AeroTag,CL_target,CD_target,CoP_target,Accel_Score,Skidpad_Score,Autocross_Score,Endurance_Score,Total_Points,Skidpad_Time,Accel_Time,Autocross_Time,Endurance_Lap_Time
CL_0.080_CD_0.020_CoP_0.450,0.08,0.02,0.45,55.2103742254807,79.5047381054419,82.414346173017,199.361533846912,416.490992350852,4.78657445044266,4.87040948810007,54.9247230237415,127.191805165465
CL_0.080_CD_0.020_CoP_0.450,0.08,0.02,0.45,55.2103742254807,79.5047381054419,82.414346173017,199.361533846912,416.490992350852,4.78657445044266,4.87040948810007,54.9247230237415,127.191805165465
CL_0.080_CD_0.020_CoP_0.450,0.08,0.02,0.45,55.2103742254807,79.5047381054419,82.414346173017,199.361533846912,416.490992350852,4.78657445044266,4.87040948810007,54.9247230237415,127.191805165465
CL_0.080_CD_0.020_CoP_0.450,0.08,0.02,0.45,55.2103742254807,79.5047381054419,82.414346173017,199.361533846912,416.490992350852,4.78657445044266,4.87040948810007,54.9247230237415,127.191805165465
CL_0.080_CD_0.020_CoP_0.450,0.08,0.02,0.45,55.2103742254807,79.5047381054419,82.414346173017,199.361533846912,416.490992350852,4.78657445044266,4.87040948810007,54.9247230237415,127.191805165465
CL_0.045_CD_0.020_CoP_0.475,0.045,0.02,0.475,49.9925679292214,72.3128441427367,77.7738084317587,182.108694842383,382.1879153461,4.91365865370185,4.97786679009856,55.6864528803588,130.270982682774
CL_0.040_CD_0.020_CoP_0.450,0.04,0.02,0.45,50.4650969789828,70.0174537752452,58.7505008094799,175.993843848146,355.226895411854,4.95640021429267,4.96794049000563,59.0432171024996,131.39841644558,2
CL_0.040_CD_0.020_CoP_0.450,0.04,0.02,0.45,50.4650969789828,70.0174537752452,58.7505008094799,175.993843848146,355.226895411854,4.95640021429267,4.96794049000563,59.0432171024996,131.39841644558,2
