AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.070_CD_0.030_CoP_0.375,0.07,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,49
CL_0.080_CD_0.030_CoP_0.375,0.08,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,50
CL_0.090_CD_0.030_CoP_0.375,0.09,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,51
CL_0.100_CD_0.030_CoP_0.375,0.1,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,52
CL_0.110_CD_0.030_CoP_0.375,0.11,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,53
CL_0.120_CD_0.030_CoP_0.375,0.12,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,54
CL_0.130_CD_0.030_CoP_0.375,0.13,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,55
CL_0.140_CD_0.030_CoP_0.375,0.14,0.03,0.375,Lap_Sim_constantAero_T27.m not found.,56
CL_0.040_CD_0.035_CoP_0.375,0.04,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,57
CL_0.050_CD_0.035_CoP_0.375,0.05,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,58
CL_0.060_CD_0.035_CoP_0.375,0.06,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,59
CL_0.070_CD_0.035_CoP_0.375,0.07,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,60
CL_0.080_CD_0.035_CoP_0.375,0.08,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,61
CL_0.090_CD_0.035_CoP_0.375,0.09,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,62
CL_0.100_CD_0.035_CoP_0.375,0.1,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,63
CL_0.110_CD_0.035_CoP_0.375,0.11,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,64
CL_0.120_CD_0.035_CoP_0.375,0.12,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,65
CL_0.130_CD_0.035_CoP_0.375,0.13,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,66
CL_0.140_CD_0.035_CoP_0.375,0.14,0.035,0.375,Lap_Sim_constantAero_T27.m not found.,67
CL_0.040_CD_0.040_CoP_0.375,0.04,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,68
CL_0.050_CD_0.040_CoP_0.375,0.05,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,69
CL_0.060_CD_0.040_CoP_0.375,0.06,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,70
CL_0.070_CD_0.040_CoP_0.375,0.07,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,71
CL_0.080_CD_0.040_CoP_0.375,0.08,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,72
CL_0.090_CD_0.040_CoP_0.375,0.09,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,73
CL_0.100_CD_0.040_CoP_0.375,0.1,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,74
CL_0.110_CD_0.040_CoP_0.375,0.11,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,75
CL_0.120_CD_0.040_CoP_0.375,0.12,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,76
CL_0.130_CD_0.040_CoP_0.375,0.13,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,77
CL_0.140_CD_0.040_CoP_0.375,0.14,0.04,0.375,Lap_Sim_constantAero_T27.m not found.,78
CL_0.040_CD_0.045_CoP_0.375,0.04,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,79
CL_0.050_CD_0.045_CoP_0.375,0.05,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,80
CL_0.060_CD_0.045_CoP_0.375,0.06,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,81
CL_0.070_CD_0.045_CoP_0.375,0.07,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,82
CL_0.080_CD_0.045_CoP_0.375,0.08,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,83
CL_0.090_CD_0.045_CoP_0.375,0.09,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,84
CL_0.100_CD_0.045_CoP_0.375,0.1,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,85
CL_0.110_CD_0.045_CoP_0.375,0.11,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,86
CL_0.120_CD_0.045_CoP_0.375,0.12,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,87
CL_0.130_CD_0.045_CoP_0.375,0.13,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,88
CL_0.140_CD_0.045_CoP_0.375,0.14,0.045,0.375,Lap_Sim_constantAero_T27.m not found.,89
CL_0.040_CD_0.050_CoP_0.375,0.04,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,90
CL_0.050_CD_0.050_CoP_0.375,0.05,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,91
CL_0.060_CD_0.050_CoP_0.375,0.06,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,92
CL_0.070_CD_0.050_CoP_0.375,0.07,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,93
CL_0.080_CD_0.050_CoP_0.375,0.08,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,94
CL_0.090_CD_0.050_CoP_0.375,0.09,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,95
CL_0.100_CD_0.050_CoP_0.375,0.1,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,96
