0.012388,77.188
0.024752,77.345
0.03709,77.5
0.049404,77.653
0.061693,77.806
0.07378,77.955
0.085843,78.102
0.097884,78.248
0.1099,78.394
0.1219,78.538
0.13367,78.677
0.14543,78.816
0.15716,78.954
0.16888,79.09
0.18057,79.226
0.19203,79.357
0.20346,79.487
0.21488,79.616
0.22628,79.745
0.23766,79.872
0.24879,79.995
0.2599,80.117
0.27099,80.238
0.28207,80.358
0.29312,80.477
0.30391,80.592
0.31468,80.706
0.32544,80.819
0.33618,80.932
0.34691,81.044
0.35734,81.151
0.36777,81.257
0.37818,81.363
0.38857,81.468
0.39896,81.573
0.40903,81.672
0.41909,81.772
0.42915,81.87
0.43919,81.969
0.44921,82.066
0.45892,82.159
0.46861,82.251
0.47829,82.343
0.48796,82.435
0.49762,82.526
0.50694,82.612
0.51625,82.698
0.52555,82.783
0.53484,82.868
0.54412,82.953
0.55304,83.033
0.56195,83.113
0.57086,83.192
0.57976,83.271
0.58864,83.35
0.59716,83.424
0.60566,83.498
0.61416,83.572
0.62265,83.645
0.63113,83.718
0.63922,83.786
0.6473,83.854
0.65538,83.922
0.66345,83.99
0.67151,84.057
0.67916,84.121
0.68681,84.183
0.69445,84.246
0.70209,84.308
0.70972,84.37
0.71692,84.428
0.72411,84.486
0.73131,84.543
0.73849,84.601
0.74568,84.658
0.75241,84.71
0.75915,84.763
0.76587,84.816
0.7726,84.868
0.77932,84.92
0.78558,84.968
0.79183,85.016
0.79808,85.064
0.80433,85.111
0.81057,85.158
0.81633,85.202
0.82209,85.245
0.82785,85.288
0.8336,85.331
0.83935,85.373
0.84461,85.412
0.84986,85.451
0.85511,85.489
0.86035,85.528
0.86559,85.566
0.87032,85.6
0.87505,85.634
0.87977,85.668
0.88449,85.702
0.88921,85.736
0.89343,85.766
0.89764,85.796
0.90186,85.826
0.90607,85.856
0.91028,85.886
0.91405,85.912
0.91782,85.939
0.92159,85.965
0.92535,85.991
0.92912,86.018
0.9325,86.041
0.93587,86.064
0.93925,86.088
0.94262,86.111
0.946,86.134
0.94904,86.155
0.95207,86.176
0.95511,86.197
0.95815,86.218
0.96119,86.238
0.96394,86.257
0.96669,86.276
0.96945,86.294
0.9722,86.313
0.97495,86.332
0.97747,86.349
0.97999,86.365
0.98251,86.382
0.98503,86.399
0.98755,86.416
0.9899,86.432
0.99224,86.447
0.99458,86.463
0.99692,86.479
0.99927,86.494
1.0015,86.509
1.0037,86.524
1.0059,86.538
1.0081,86.553
1.0103,86.567
1.0125,86.582
1.0146,86.596
1.0168,86.61
1.0189,86.624
1.0211,86.638
1.0232,86.652
1.0253,86.665
1.0274,86.679
1.0295,86.693
1.0316,86.707
1.0338,86.721
1.0359,86.735
1.0381,86.749
1.0402,86.762
1.0424,86.776
1.0446,86.791
1.0469,86.805
1.0491,86.819
1.0513,86.834
1.0535,86.848
1.0559,86.863
1.0583,86.878
1.0606,86.893
1.063,86.908
1.0654,86.923
1.0679,86.94
1.0705,86.956
1.073,86.972
1.0756,86.988
1.0781,87.004
1.0809,87.022
1.0837,87.039
1.0865,87.057
1.0893,87.074
1.092,87.091
1.0951,87.111
1.0982,87.13
1.1013,87.149
1.1043,87.168
1.1074,87.187
1.1108,87.208
1.1142,87.229
1.1176,87.25
1.121,87.271
1.1244,87.292
1.1282,87.315
1.132,87.338
1.1358,87.361
1.1396,87.384
1.1434,87.407
1.1477,87.433
1.1519,87.458
1.1561,87.484
1.1604,87.509
1.1646,87.535
1.1693,87.563
1.174,87.591
